day,soc,date
1,50,01/01/2020
2,50,02/01/2020
3,50,03/01/2020
4,50,04/01/2020
5,50,05/01/2020
6,50,06/01/2020
7,50,07/01/2020
8,50,08/01/2020
9,50,09/01/2020
10,50,10/01/2020
11,50,11/01/2020
12,50,12/01/2020
13,50,13/01/2020
14,50,14/01/2020
15,50,15/01/2020
16,50,16/01/2020
17,50,17/01/2020
18,50,18/01/2020
19,50,19/01/2020
20,50,20/01/2020
21,50,21/01/2020
22,50,22/01/2020
23,50,23/01/2020
24,50,24/01/2020
25,50,25/01/2020
26,50,26/01/2020
27,50,27/01/2020
28,50,28/01/2020
29,50,29/01/2020
30,50,30/01/2020
31,50,31/01/2020
32,50,01/02/2020
33,50,02/02/2020
34,50,03/02/2020
35,50,04/02/2020
36,50,05/02/2020
37,50,06/02/2020
38,50,07/02/2020
39,50,08/02/2020
40,50,09/02/2020
41,50,10/02/2020
42,50,11/02/2020
43,50,12/02/2020
44,50,13/02/2020
45,50,14/02/2020
46,50,15/02/2020
47,50,16/02/2020
48,50,17/02/2020
49,50,18/02/2020
50,50,19/02/2020
51,50,20/02/2020
52,50,21/02/2020
53,50,22/02/2020
54,50,23/02/2020
55,50,24/02/2020
56,50,25/02/2020
57,50,26/02/2020
58,50,27/02/2020
59,50,28/02/2020
60,50,29/02/2020
61,50,01/03/2020
62,50,02/03/2020
63,50,03/03/2020
64,50,04/03/2020
65,50,05/03/2020
66,50,06/03/2020
67,50,07/03/2020
68,50,08/03/2020
69,50,09/03/2020
70,50,10/03/2020
71,50,11/03/2020
72,50,12/03/2020
73,50,13/03/2020
74,50,14/03/2020
75,50,15/03/2020
76,50,16/03/2020
77,50,17/03/2020
78,50,18/03/2020
79,50,19/03/2020
80,50,20/03/2020
81,50,21/03/2020
82,50,22/03/2020
83,50,23/03/2020
84,50,24/03/2020
85,50,25/03/2020
86,50,26/03/2020
87,50,27/03/2020
88,50,28/03/2020
89,50,29/03/2020
90,50,30/03/2020
91,50,31/03/2020
92,60,01/04/2020
93,60,02/04/2020
94,60,03/04/2020
95,60,04/04/2020
96,60,05/04/2020
97,60,06/04/2020
98,60,07/04/2020
99,60,08/04/2020
100,60,09/04/2020
101,60,10/04/2020
102,60,11/04/2020
103,60,12/04/2020
104,60,13/04/2020
105,60,14/04/2020
106,60,15/04/2020
107,60,16/04/2020
108,60,17/04/2020
109,60,18/04/2020
110,60,19/04/2020
111,60,20/04/2020
112,60,21/04/2020
113,60,22/04/2020
114,60,23/04/2020
115,60,24/04/2020
116,60,25/04/2020
117,60,26/04/2020
118,60,27/04/2020
119,60,28/04/2020
120,60,29/04/2020
121,60,30/04/2020
122,60,01/05/2020
123,60,02/05/2020
124,60,03/05/2020
125,60,04/05/2020
126,60,05/05/2020
127,60,06/05/2020
128,60,07/05/2020
129,60,08/05/2020
130,60,09/05/2020
131,60,10/05/2020
132,60,11/05/2020
133,60,12/05/2020
134,60,13/05/2020
135,60,14/05/2020
136,60,15/05/2020
137,60,16/05/2020
138,60,17/05/2020
139,60,18/05/2020
140,60,19/05/2020
141,60,20/05/2020
142,60,21/05/2020
143,60,22/05/2020
144,60,23/05/2020
145,60,24/05/2020
146,60,25/05/2020
147,60,26/05/2020
148,60,27/05/2020
149,60,28/05/2020
150,60,29/05/2020
151,60,30/05/2020
152,60,31/05/2020
153,60,01/06/2020
154,60,02/06/2020
155,60,03/06/2020
156,60,04/06/2020
157,60,05/06/2020
158,60,06/06/2020
159,60,07/06/2020
160,60,08/06/2020
161,60,09/06/2020
162,60,10/06/2020
163,60,11/06/2020
164,60,12/06/2020
165,60,13/06/2020
166,60,14/06/2020
167,60,15/06/2020
168,60,16/06/2020
169,60,17/06/2020
170,60,18/06/2020
171,60,19/06/2020
172,60,20/06/2020
173,60,21/06/2020
174,60,22/06/2020
175,60,23/06/2020
176,60,24/06/2020
177,60,25/06/2020
178,60,26/06/2020
179,60,27/06/2020
180,60,28/06/2020
181,60,29/06/2020
182,60,30/06/2020
183,60,01/07/2020
184,60,02/07/2020
185,60,03/07/2020
186,60,04/07/2020
187,75,05/07/2020
188,75,06/07/2020
189,75,07/07/2020
190,75,08/07/2020
191,75,09/07/2020
192,75,10/07/2020
193,75,11/07/2020
194,75,12/07/2020
195,75,13/07/2020
196,75,14/07/2020
197,75,15/07/2020
198,75,16/07/2020
199,75,17/07/2020
200,75,18/07/2020
201,75,19/07/2020
202,75,20/07/2020
203,75,21/07/2020
204,75,22/07/2020
205,75,23/07/2020
206,75,24/07/2020
207,75,25/07/2020
208,75,26/07/2020
209,75,27/07/2020
210,75,28/07/2020
211,75,29/07/2020
212,75,30/07/2020
213,75,31/07/2020
214,75,01/08/2020
215,75,02/08/2020
216,75,03/08/2020
217,75,04/08/2020
218,75,05/08/2020
219,75,06/08/2020
220,75,07/08/2020
221,75,08/08/2020
222,60,09/08/2020
223,60,10/08/2020
224,60,11/08/2020
225,60,12/08/2020
226,60,13/08/2020
227,60,14/08/2020
228,60,15/08/2020
229,60,16/08/2020
230,60,17/08/2020
231,60,18/08/2020
232,60,19/08/2020
233,60,20/08/2020
234,60,21/08/2020
235,60,22/08/2020
236,60,23/08/2020
237,60,24/08/2020
238,60,25/08/2020
239,60,26/08/2020
240,60,27/08/2020
241,60,28/08/2020
242,60,29/08/2020
243,60,30/08/2020
244,60,31/08/2020
245,60,01/09/2020
246,60,02/09/2020
247,60,03/09/2020
248,60,04/09/2020
249,60,05/09/2020
250,60,06/09/2020
251,60,07/09/2020
252,60,08/09/2020
253,60,09/09/2020
254,60,10/09/2020
255,60,11/09/2020
256,60,12/09/2020
257,60,13/09/2020
258,60,14/09/2020
259,60,15/09/2020
260,60,16/09/2020
261,60,17/09/2020
262,60,18/09/2020
263,60,19/09/2020
264,60,20/09/2020
265,60,21/09/2020
266,60,22/09/2020
267,60,23/09/2020
268,60,24/09/2020
269,60,25/09/2020
270,60,26/09/2020
271,60,27/09/2020
272,60,28/09/2020
273,60,29/09/2020
274,60,30/09/2020
275,50,01/10/2020
276,50,02/10/2020
277,50,03/10/2020
278,50,04/10/2020
279,50,05/10/2020
280,50,06/10/2020
281,50,07/10/2020
282,50,08/10/2020
283,50,09/10/2020
284,50,10/10/2020
285,50,11/10/2020
286,50,12/10/2020
287,50,13/10/2020
288,50,14/10/2020
289,50,15/10/2020
290,50,16/10/2020
291,50,17/10/2020
292,50,18/10/2020
293,50,19/10/2020
294,50,20/10/2020
295,50,21/10/2020
296,50,22/10/2020
297,50,23/10/2020
298,50,24/10/2020
299,50,25/10/2020
300,50,26/10/2020
301,50,27/10/2020
302,50,28/10/2020
303,50,29/10/2020
304,50,30/10/2020
305,50,31/10/2020
306,50,01/11/2020
307,50,02/11/2020
308,50,03/11/2020
309,50,04/11/2020
310,50,05/11/2020
311,50,06/11/2020
312,50,07/11/2020
313,50,08/11/2020
314,50,09/11/2020
315,50,10/11/2020
316,50,11/11/2020
317,50,12/11/2020
318,50,13/11/2020
319,50,14/11/2020
320,50,15/11/2020
321,50,16/11/2020
322,50,17/11/2020
323,50,18/11/2020
324,50,19/11/2020
325,50,20/11/2020
326,50,21/11/2020
327,50,22/11/2020
328,50,23/11/2020
329,50,24/11/2020
330,50,25/11/2020
331,50,26/11/2020
332,50,27/11/2020
333,50,28/11/2020
334,50,29/11/2020
335,50,30/11/2020
336,50,01/12/2020
337,50,02/12/2020
338,50,03/12/2020
339,50,04/12/2020
340,50,05/12/2020
341,50,06/12/2020
342,50,07/12/2020
343,50,08/12/2020
344,50,09/12/2020
345,50,10/12/2020
346,50,11/12/2020
347,50,12/12/2020
348,50,13/12/2020
349,50,14/12/2020
350,50,15/12/2020
351,50,16/12/2020
352,50,17/12/2020
353,50,18/12/2020
354,50,19/12/2020
355,50,20/12/2020
356,50,21/12/2020
357,50,22/12/2020
358,50,23/12/2020
359,50,24/12/2020
360,50,25/12/2020
361,50,26/12/2020
362,50,27/12/2020
363,50,28/12/2020
364,50,29/12/2020
365,50,30/12/2020
366,50,31/12/2020
